Periodo,ID,Sector,Campaña,Lider,Fecha Ingreso,FECHA Monitoreo,% NOTA,NOTA,Rango,Estado,Motivo ,Año,Tipo de error ,EA,EG
202205,6184,Adultos Mayores,Adultos,FC,3/18/2022,5/6/2022,93.46%,93.46,6,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202205,6184,Adultos Mayores,Adultos,FC,3/18/2022,5/19/2022,0.00%,0.00,1,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202206,6184,Adultos Mayores,Adultos,FC,3/18/2022,6/8/2022,70.60%,70.60,3,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202207,6184,Adultos Mayores,Adultos,FC,3/18/2022,7/1/2022,22.33%,22.33,1,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202207,6184,Adultos Mayores,Adultos,FC,3/18/2022,7/11/2022,80.83%,80.83,4,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202208,6184,Adultos Mayores,Adultos,FC,3/18/2022,8/1/2022,81.88%,81.88,4,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202208,6184,Adultos Mayores,Adultos,FC,3/18/2022,8/9/2022,71.67%,71.67,3,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202209,6184,Adultos Mayores,Adultos,FC,3/18/2022,9/1/2022,83.33%,83.33,4,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202209,6184,Adultos Mayores,Adultos,FC,3/18/2022,9/21/2022,89.17%,89.17,5,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202210,6184,Adultos Mayores,Adultos,FC,3/18/2022,10/4/2022,89.17%,89.17,5,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202210,6184,Adultos Mayores,Adultos,FC,3/18/2022,10/26/2022,71.67%,71.67,3,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202211,6184,Adultos Mayores,Adultos,FC,3/18/2022,11/4/2022,83.33%,83.33,4,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202211,6184,Adultos Mayores,Adultos,FC,3/18/2022,11/23/2022,85.17%,85.17,5,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202212,6184,Adultos Mayores,Adultos,FC,3/18/2022,12/16/2022,85.67%,85.67,5,Baja,Adultos Mayores/Tarjetas,2022,,0,0
202301,6184,Adultos Mayores,Adultos,FC,3/18/2022,1/10/2023,93.46%,93.46,6,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202301,6184,Adultos Mayores,Adultos,FC,3/18/2022,1/16/2023,"58,9%",58.90,2,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202302,6184,Adultos Mayores,Adultos,FC,3/18/2022,2/7/2023,83.33%,83.33,4,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202302,6184,Adultos Mayores,Adultos,FC,3/18/2022,2/26/2023,96.08%,96.08,6,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202308,6184,Adultos Mayores,Adultos,LF,3/18/2022,8/7/2023,73.40%,73.40,3,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202308,6184,Adultos Mayores,Adultos,LF,3/18/2022,8/16/2023,86.18%,86.18,5,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202308,6184,Adultos Mayores,Adultos,LF,3/18/2022,8/24/2023,67.84%,67.84,2,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202309,6184,Adultos Mayores,Adultos,LF,3/18/2022,9/7/2023,93.00%,93.00,6,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202309,6184,Adultos Mayores,Adultos,LF,3/18/2022,9/19/2023,93.00%,93.00,6,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202310,6184,Adultos Mayores,Adultos,LF,3/18/2022,10/3/2023,89.17%,89.17,5,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202310,6184,Adultos Mayores,Adultos,LF,3/18/2022,10/20/2023,97.85%,97.85,6,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202303,6184,Adultos Mayores,Adultos,LF,3/18/2022,3/8/2023,100.00%,100.00,6,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202303,6184,Adultos Mayores,Adultos,LF,3/18/2022,3/27/2023,89.17%,89.17,5,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202304,6184,Adultos Mayores,Adultos,LF,3/18/2022,4/3/2023,83.33%,83.33,4,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202304,6184,Adultos Mayores,Adultos,LF,3/18/2022,4/14/2023,69.91%,69.91,2,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202304,6184,Adultos Mayores,Adultos,LF,3/18/2022,4/27/2023,100.00%,100.00,6,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202305,6184,Adultos Mayores,Adultos,LF,3/18/2022,5/10/2023,83.33%,83.33,4,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202305,6184,Adultos Mayores,Adultos,LF,3/18/2022,5/18/2023,87.39%,87.39,5,Baja,Adultos Mayores/Tarjetas,2023,,0,0
202306,6184,Adultos Mayores,Adultos,LF,3/18/2022,6/1/2023,79.83%,79.83,3,Baja,Adultos Mayores/Tarjetas,2023,,0,0
