0.00,1
0.07,1
0.19,1
0.56,2
0.59,2
0.76,3
0.78,3
0.81,4
0.85,4
0.18,1
0.71,3
0.24,1
0.10,1
0.24,1
0.80,4
0.00,1
0.73,3
0.77,3
0.78,3
0.82,4
0.82,4
0.84,4
0.87,5
0.47,1
0.77,3
0.84,4
0.85,4
0.69,2
0.72,3
0.83,4
0.43,1
0.86,5
0.00,1
0.80,4
0.39,1
0.70,3
0.32,1
0.76,3
0.74,3
0.38,1
0.65,2
0.84,4
0.84,4
0.86,5
0.89,5
0.96,6
0.37,1
0.63,2
0.76,3
0.83,4
0.86,5
0.26,1
0.27,1
0.70,2
0.74,3
0.88,5
0.00,1
0.25,1
0.26,1
0.30,1
0.75,3
0.88,5
0.94,6
0.76,3
0.81,4
0.18,1
0.26,1
0.39,1
0.39,1
0.49,1
0.49,1
0.52,2
0.64,2
0.66,2
0.74,3
0.79,3
0.84,4
0.88,5
0.88,5
0.26,1
0.31,1
0.47,1
0.63,2
0.72,3
0.73,3
0.81,4
0.82,4
0.83,4
0.84,4
0.86,5
0.90,5
0.55,2
0.56,2
0.81,4
0.87,5
0.89,5
0.92,6
0.34,1
0.43,1
0.49,1
0.51,2
0.60,2
0.68,2
0.78,3
0.83,4
0.42,1
0.56,2
0.76,3
0.79,3
0.82,4
0.92,6
0.45,1
0.85,4
0.46,1
0.68,2
0.78,3
0.84,4
0.50,2
0.66,2
0.75,3
0.77,3
0.16,1
0.41,1
0.88,5
0.93,6
0.20,1
0.66,2
0.73,3
0.76,3
0.00,1
0.37,1
0.44,1
0.64,2
0.66,2
0.72,3
0.84,4
0.33,1
0.62,2
0.75,3
0.76,3
0.76,3
0.79,3
0.84,4
0.85,4
0.87,5
0.88,5
0.91,5
0.93,6
0.49,1
0.63,2
0.71,3
0.74,3
0.76,3
0.78,3
0.79,3
0.80,3
0.82,4
0.85,4
0.88,5
0.91,5
0.37,1
0.75,3
0.75,3
0.75,3
0.76,3
0.77,3
0.83,4
0.84,4
0.85,4
0.86,5
0.27,1
0.74,3
0.75,3
0.77,3
0.78,3
0.81,4
0.92,6
0.94,6
0.97,6
