ID,NOTA,Rango,Año,EA,EG,BT
6220,0.00,1,2022,0,0,1
6220,33.94,1,2022,0,0,1
6220,73.13,3,2022,0,0,1
6220,71.62,3,2022,0,0,1
6220,71.62,3,2022,0,0,1
6220,87.75,5,2022,0,0,1
6473,23.40,1,2022,0,0,1
6220,90.67,5,2022,0,0,1
6473,93.35,6,2022,0,0,1
6473,38.33,1,2022,0,0,1
6220,88.33,5,2022,0,0,1
6220,73.17,3,2022,0,0,1
2212,86.88,5,2021,0,0,0
2212,70.23,3,2022,0,0,0
2404,78.17,3,2022,0,0,0
2212,85.67,5,2022,0,0,0
2212,36.25,1,2022,0,0,0
2212,90.67,5,2022,0,0,0
2212,89.85,5,2022,0,0,0
2221,100.00,6,2023,0,0,0
6218,89.85,5,2022,0,0,0
6218,0.00,1,2022,0,0,0
6218,94.17,6,2022,0,0,0
6218,98.00,6,2022,0,0,0
6218,0.00,1,2022,0,0,0
6218,75.00,3,2023,0,0,0
6218,0.00,1,2023,0,0,0
6218,84.71,4,2023,0,0,0
6218,0.00,1,2023,0,0,0
6218,46.95,1,2022,0,0,0
6218,28.90,1,2022,0,0,0
6218,37.75,1,2022,0,0,0
6218,81.63,4,2022,0,0,0
6218,80.38,4,2022,0,0,0
6218,67.33,2,2022,0,0,0
6218,26.67,1,2022,0,0,0
6218,33.90,1,2022,0,0,0
6218,85.83,5,2022,0,0,0
6218,89.85,5,2022,0,0,0
6184,86.25,5,2022,0,0,0
6184,38.33,1,2022,0,0,0
6184,71.67,3,2022,0,0,0
6184,93.46,6,2022,0,0,0
6184,0.00,1,2022,0,0,0
6184,70.60,3,2022,0,0,0
6184,22.33,1,2022,0,0,0
6184,80.83,4,2022,0,0,0
6184,81.88,4,2022,0,0,0
6184,71.67,3,2022,0,0,0
6184,83.33,4,2022,0,0,0
6184,89.17,5,2022,0,0,0
6184,89.17,5,2022,0,0,0
6184,71.67,3,2022,0,0,0
6184,83.33,4,2022,0,0,0
6184,85.17,5,2022,0,0,0
6184,85.67,5,2022,0,0,0
6184,93.46,6,2023,0,0,0
6184,58.90,2,2023,0,0,0
6184,83.33,4,2023,0,0,0
6184,96.08,6,2023,0,0,0
6184,73.40,3,2023,0,0,0
6184,86.18,5,2023,0,0,0
6184,67.84,2,2023,0,0,0
6184,93.00,6,2023,0,0,0
6184,93.00,6,2023,0,0,0
6184,89.17,5,2023,0,0,0
6184,97.85,6,2023,0,0,0
6184,100.00,6,2023,0,0,0
6184,89.17,5,2023,0,0,0
6184,83.33,4,2023,0,0,0
6184,69.91,2,2023,0,0,0
6184,100.00,6,2023,0,0,0
6184,83.33,4,2023,0,0,0
6184,87.39,5,2023,0,0,0
6184,79.83,3,2023,0,0,0
6184,83.33,4,2023,0,0,0
6184,78.67,3,2023,0,0,0
