ID,Camp,Est,Antigüedad Días,BT,Nota,Sex,Age
6526,5,0,9,1,0.00,1,2
6529,5,0,9,1,0.00,0,1
6559,5,0,7,1,0.00,1,1
6598,5,0,4,1,0.00,1,1
6580,5,0,9,1,0.00,1,3
6560,5,0,7,1,0.00,1,2
6085,5,0,191,0,55.03,0,3
6594,5,0,9,1,0.00,1,2
2354,5,0,200,0,65.23,1,2
4095,5,0,82,0,55.49,1,2
5079,5,0,201,0,57.75,1,2
2342,5,0,201,0,55.37,0,2
6528,5,0,37,1,73.04,1,2
2203,5,0,201,0,67.78,0,1
2272,5,0,217,0,87.35,1,1
6702,5,0,5,1,0.00,0,2
6701,5,0,12,1,0.00,1,3
6731,5,0,24,1,0.00,1,1
6561,5,0,53,0,58.28,0,1
5001,5,0,233,0,78.71,1,3
6235,5,0,182,0,71.23,1,2
2363,5,0,235,0,81.21,1,1
2507,5,0,71,0,83.82,1,2
6730,5,0,16,1,66.23,1,1
6596,5,0,71,0,95.29,1,1
5143,5,0,263,0,85.63,1,2
5146,5,0,263,0,89.94,1,2
6562,5,0,84,0,62.47,0,1
6654,5,0,79,0,96.22,1,1
6623,5,0,80,0,89.23,0,1
6530,5,0,99,0,90.04,1,1
6185,5,0,263,0,88.78,0,1
6743,5,0,6,1,0.00,1,1
6471,5,0,158,0,55.57,1,1
2484,5,0,124,0,60.80,1,1
6581,5,0,117,0,78.41,1,2
6524,5,0,139,0,89.31,1,1
2483,5,0,133,0,61.57,0,1
6601,5,0,122,0,93.00,1,1
6440,5,0,231,0,77.98,1,2
6522,5,0,169,0,92.11,1,3
5100,5,0,324,0,79.10,1,1
6502,5,0,201,0,73.51,0,1
2469,5,0,234,0,76.95,1,3
6573,5,0,173,0,83.12,1,1
6812,5,0,11,1,0.00,1,3
2435,5,0,333,0,78.05,1,1
6809,5,0,30,1,0.00,1,1
6810,5,0,30,1,0.00,1,3
6815,5,0,30,1,0.00,1,1
6803,5,0,30,1,80.53,1,2
6726,5,0,155,0,81.80,1,1
6613,5,0,205,0,59.81,0,1
2246,5,0,388,0,71.03,1,1
2493,5,0,221,0,80.52,1,1
2403,5,0,395,0,75.43,0,1
2470,5,0,279,0,65.80,1,1
6510,5,0,254,0,56.30,1,1
6668,5,0,223,0,81.80,1,1
5098,5,0,815,0,72.11,0,2
5081,5,0,606,0,79.36,1,1
6700,5,0,212,0,81.47,1,3
6578,5,0,254,0,79.93,1,2
6683,5,0,231,0,75.84,1,1
5095,5,0,617,0,72.68,1,1
6416,5,0,367,0,62.39,0,1
5074,5,0,623,0,74.15,1,1
2196,5,0,589,0,68.93,1,1
6571,5,0,260,0,63.03,1,2
5151,5,0,445,0,85.96,1,2
6808,5,0,95,0,93.84,1,1
5159,5,0,607,0,71.29,0,3
6707,5,0,227,0,73.77,1,1
6039,5,0,568,0,57.38,1,1
5089,5,0,631,0,70.40,1,3
6142,5,0,532,0,69.57,1,3
6764,5,0,130,0,33.81,0,1
6618,5,0,266,0,71.75,1,2
2368,5,0,459,0,79.49,0,1
6741,5,0,192,0,86.15,0,1
6814,5,0,95,0,64.54,0,1
2205,5,0,558,0,81.39,1,2
6093,5,0,675,0,64.49,1,1
6238,5,0,435,0,87.38,1,1
2449,5,0,428,0,80.51,1,1
8027,5,0,7,1,0.00,1,1
8030,5,0,7,1,0.00,1,3
8025,5,0,7,1,0.00,1,2
8026,5,0,8,1,0.00,1,2
6472,5,0,14,1,80.31,1,1
8045,5,0,12,1,0.00,1,2
8043,5,0,12,1,0.00,1,2
8055,5,0,9,1,0.00,0,1
8041,5,0,19,1,75.47,1,3
8052,5,0,13,1,0.00,1,1
8046,5,0,20,1,16.03,1,3
8039,5,0,3,1,68.18,1,3
6593,5,0,345,0,84.84,1,2
6590,5,0,345,0,64.09,1,1
8060,5,0,26,1,0.00,1,1
8061,5,0,6,1,0.00,0,2
6727,5,0,311,0,61.69,0,1
2218,5,0,591,0,66.89,1,2
2276,5,0,581,0,78.98,0,1
6653,5,0,352,0,61.52,0,1
6129,5,0,631,0,77.98,0,1
8023,5,0,8,1,79.95,1,3
8040,5,0,44,1,69.65,0,2
8044,5,0,44,1,74.81,1,2
8053,5,0,40,1,53.34,1,1
8042,5,0,47,0,77.53,1,1
6595,5,0,366,0,72.20,1,1
8068,5,0,9,1,0.00,1,1
8067,5,0,12,1,0.00,1,1
2195,5,0,712,0,84.00,1,1
8069,5,0,34,1,37.40,1,1
6669,5,0,383,0,79.71,1,2
5018,5,0,770,0,83.73,1,2
8081,5,0,12,1,0.00,1,2
8075,5,0,5,1,0.00,1,2
8084,5,0,13,1,0.00,1,2
6194,5,0,51,0,84.63,1,1
6202,5,0,597,0,61.42,1,1
8148,5,0,9,1,0.00,0,2
6740,5,0,339,0,84.15,0,2
2273,5,0,648,0,72.56,1,3
8161,5,0,1,1,0.00,1,2
8159,5,0,6,1,0.00,1,1
8160,5,0,6,1,0.00,0,1
8079,5,0,51,0,84.88,1,1
5047,5,0,820,0,69.24,0,1
8169,5,0,9,1,0.00,1,2
8168,5,0,10,1,0.00,1,2
8220,5,0,215,0,60.28,1,1
8240,5,0,4,1,0.00,0,1
5190,5,0,628,0,86.81,1,3
8022,5,0,145,0,75.76,0,3
8242,5,0,5,1,0.00,0,1
6577,5,0,453,0,76.88,1,1
8145,5,0,45,1,0.00,1,1
8184,5,0,12,1,0.00,0,1
8238,5,0,7,1,0.00,0,1
8227,5,0,5,1,0.00,1,3
8232,5,0,5,1,0.00,1,1
8223,5,0,5,1,0.00,1,1
